27659604,2016
27489157,2016
27362939,2016
27302026,2016
27287500,2016
27140444,2016
27089537,2016
26961577,2016
26888870,2016
26884584,2016
26855456,2016
26792360,2016
26735922,2016
26658791,2015
26513223,2015
26286683,2016
25977517,2015
25927593,2015
25462002,2014
25262204,2014
25117131,2014
25086573,2014
24618053,2014
24484902,2014
24218045,2013
24155956,2013
24135929,2013
24096758,2014
23887205,2013
23818558,2013
23723992,2013
23616031,2013
23258789,2013
23167972,2012
23165837,2012
23024781,2012
23016799,2012
22628429,2012
22536359,2012
22531492,2012
22479411,2012
22334559,2012
22264418,2012
22184462,2012
22105642,2012
21893851,2011
21727292,2011
21706451,2011
21311065,2011
21183750,2011
21145857,2011
21130962,2010
21039184,2011
20825895,2011
20656636,2010
20625080,2010
20615168,2010
20599011,2010
20551183,2010
20362726,2010
20219698,2010
20189374,2010
20160667,2010
19910608,2010
19892997,2009
19863285,2009
19745174,2009
19696061,2009
19633539,2010
19619699,2009
19596738,2009
19580414,2009
19546426,2009
19424700,2009
19381269,2009
19185651,2009
19014942,2009
18841094,2009
18774745,2008
18646085,2008
18495689,2008
18371592,2008
18285565,2008
18284637,2008
18203702,2008
17954803,2007
17944029,2007
